,Unnamed: 0,Unnamed: 0.1,Unsegmented_hashtag,Segmented_hashtag,Unsegmented_hashtag_lowerCase,Segmented_hashtag_lowerCase,segments_count
241755,242335,242335,JoyJagannath,Joy Jagannath,joyjagannath,joy jagannath,2
268327,268962,268962,HarChokidaarChorHai,Har Chokidaar Chor Hai,harchokidaarchorhai,har chokidaar chor hai,4
196681,197155,197155,SouthernStupidity,Southern Stupidity,southernstupidity,southern stupidity,2
232819,233375,233375,HalfLion,Half Lion,halflion,half lion,2
327733,328500,328500,#Thangam,Thangam,#thangam,thangam,1
326398,327165,327165,#TheUltimateTest,The Ultimate Test,#theultimatetest,the ultimate test,3
55753,55914,55914,17Abril,17 Abril,17abril,17 abril,2
161609,162006,162006,TejinderBagga,Tejinder Bagga,tejinderbagga,tejinder bagga,2
5598,5616,5616,GraphicCapital,Graphic Capital,graphiccapital,graphic capital,2
325325,326092,326092,FirstLokpal,First Lokpal,firstlokpal,first lokpal,2
304473,305198,305198,ChowkidarChai,Chowkidar Chai,chowkidarchai,chowkidar chai,2
43799,43921,43921,MuslimsWithNaMo,Muslims With Na Mo,muslimswithnamo,muslims with na mo,4
60080,60249,60249,HotelPromenade,Hotel Promenade,hotelpromenade,hotel promenade,2
14149,14192,14192,RememberRahulWhenYouVote,Remember Rahul When You Vote,rememberrahulwhenyouvote,remember rahul when you vote,5
126597,126922,126922,LoveActually,Love Actually,loveactually,love actually,2
298893,299602,299602,ParliamentaryAction,Parliamentary Action,parliamentaryaction,parliamentary action,2
63595,63772,63772,GoldenIndia,Golden India,goldenindia,golden india,2
116333,116629,116629,UAEwithModi,UA Ewith Modi,uaewithmodi,ua ewith modi,3
113994,114287,114287,FunMeinHaiVishwas,Fun Mein Hai Vishwas,funmeinhaivishwas,fun mein hai vishwas,4
283172,283845,283845,KarnatakaByElection2019,Karnataka By Election 2019,karnatakabyelection2019,karnataka by election 2019,4
47596,47730,47730,CPIs,CP Is,cpis,cp is,2
146550,146913,146913,ExitPollsResults2018,Exit Polls Results 2018,exitpollsresults2018,exit polls results 2018,4
186491,186939,186939,OSAAAward,OSAA Award,osaaaward,osaa award,2
185668,186116,186116,DGPHUpdates,DGPH Updates,dgphupdates,dgph updates,2
10023,10053,10053,SaveTheDreamers,Save The Dreamers,savethedreamers,save the dreamers,3
39101,39212,39212,IdeologicalBattle,Ideological Battle,ideologicalbattle,ideological battle,2
210408,210916,210916,IndiraGandhiBhiChorHai,Indira Gandhi Bhi Chor Hai,indiragandhibhichorhai,indira gandhi bhi chor hai,5
54532,54688,54688,LargeCap,Large Cap,largecap,large cap,2
155479,155866,155866,WednesdayTruth,Wednesday Truth,wednesdaytruth,wednesday truth,2
217945,218471,218471,HaryanaVote4Modi,Haryana Vote 4 Modi,haryanavote4modi,haryana vote 4 modi,4
171429,171846,171846,MannkiBaaat,Mannki Baaat,mannkibaaat,mannki baaat,2
229881,230434,230434,AtGuruvayurTemple,At Guruvayur Temple,atguruvayurtemple,at guruvayur temple,3
128133,128460,128460,RenukasinghBjp4Surguja,Renukasingh Bjp 4 Surguja,renukasinghbjp4surguja,renukasingh bjp 4 surguja,4
114169,114462,114462,ChiefElectoralOfficerPunjab,Chief Electoral Officer Punjab,chiefelectoralofficerpunjab,chief electoral officer punjab,4
327718,328485,328485,#BEASTFirstLook,BEAST First Look,#beastfirstlook,beast first look,3
289201,289885,289885,PrinciplesOfKarmaByBapuji,Principles Of Karma By Bapuji,principlesofkarmabybapuji,principles of karma by bapuji,5
223000,223538,223538,PakistaniMedia,Pakistani Media,pakistanimedia,pakistani media,2
16747,16798,16798,FascistFour,Fascist Four,fascistfour,fascist four,2
235141,235703,235703,RajvirSingh,Rajvir Singh,rajvirsingh,rajvir singh,2
105781,106061,106061,BangaloreTdp,Bangalore Tdp,bangaloretdp,bangalore tdp,2
141389,141745,141745,TOIlet,TO Ilet,toilet,to ilet,2
315843,316594,316594,BuildtheDamnWall,Buildthe Damn Wall,buildthedamnwall,buildthe damn wall,3
238687,239258,239258,RamDevSoni,Ram Dev Soni,ramdevsoni,ram dev soni,3
210143,210650,210650,FakeLaw,Fake Law,fakelaw,fake law,2
263724,264348,264348,Vote4BJPistoVote4,Vote 4 BJ Pisto Vote 4,vote4bjpistovote4,vote 4 bj pisto vote 4,6
257032,257646,257646,LieMaster,Lie Master,liemaster,lie master,2
1079,1084,1084,SanghParvaar,Sangh Parvaar,sanghparvaar,sangh parvaar,2
91401,91650,91650,BoE,Bo E,boe,bo e,2
113742,114034,114034,JumlaVikas,Jumla Vikas,jumlavikas,jumla vikas,2
38304,38412,38412,PropertyHint,Property Hint,propertyhint,property hint,2
255472,256085,256085,NaveenPatnaikInindia,Naveen Patnaik Inindia,naveenpatnaikinindia,naveen patnaik inindia,3
166058,166468,166468,WhyAsaramBapuJiTargeted,Why Asaram Bapu Ji Targeted,whyasarambapujitargeted,why asaram bapu ji targeted,5
255186,255799,255799,HCBansFlexUse,HC Bans Flex Use,hcbansflexuse,hc bans flex use,4
305634,306360,306360,MainBhiChowkidarphirse,Main Bhi Chowkidarphirse,mainbhichowkidarphirse,main bhi chowkidarphirse,3
248204,248801,248801,CallOfDuty2020,Call Of Duty 2020,callofduty2020,call of duty 2020,4
149563,149932,149932,WestIndies,West Indies,westindies,west indies,2
150537,150908,150908,AyengetoModiJiHi,Ayengeto Modi Ji Hi,ayengetomodijihi,ayengeto modi ji hi,4
199430,199908,199908,ChowkidarImandarhai,Chowkidar Imandarhai,chowkidarimandarhai,chowkidar imandarhai,2
178382,178808,178808,JhootMuktAmethi,Jhoot Mukt Amethi,jhootmuktamethi,jhoot mukt amethi,3
29286,29373,29373,NaMoSelection,Na Mo Selection,namoselection,na mo selection,3
194357,194825,194825,FreeFlynn,Free Flynn,freeflynn,free flynn,2
26803,26884,26884,SaffronSurgeAgain,Saffron Surge Again,saffronsurgeagain,saffron surge again,3
187851,188303,188303,MamthaBanarji,Mamtha Banarji,mamthabanarji,mamtha banarji,2
44101,44223,44223,goldenTemple,golden Temple,goldentemple,golden temple,2
215099,215620,215620,WorldThisWeek,World This Week,worldthisweek,world this week,3
321207,321966,321966,CongressAreThieves,Congress Are Thieves,congressarethieves,congress are thieves,3
35024,35121,35121,NhsSaveLives,Nhs Save Lives,nhssavelives,nhs save lives,3
46707,46839,46839,BibiRajindraKaurBhatthal,Bibi Rajindra Kaur Bhatthal,bibirajindrakaurbhatthal,bibi rajindra kaur bhatthal,4
108334,108616,108616,InstantTurnOns,Instant Turn Ons,instantturnons,instant turn ons,3
89199,89446,89446,RajivAnderson,Rajiv Anderson,rajivanderson,rajiv anderson,2
146564,146927,146927,lifekaplanB,lifekaplan B,lifekaplanb,lifekaplan b,2
99899,100165,100165,EUVotingRights,EU Voting Rights,euvotingrights,eu voting rights,3
161424,161821,161821,LanaodelSur,Lanaodel Sur,lanaodelsur,lanaodel sur,2
18798,18854,18854,KAPaulFans,KA Paul Fans,kapaulfans,ka paul fans,3
66556,66738,66738,TrendingPicture,Trending Picture,trendingpicture,trending picture,2
309058,309793,309793,RemainerAttacks,Remainer Attacks,remainerattacks,remainer attacks,2
179732,180162,180162,ChowkidarNahiPMChuno,Chowkidar Nahi PM Chuno,chowkidarnahipmchuno,chowkidar nahi pm chuno,4
276245,276900,276900,NarasimhuniSuddulu,Narasimhuni Suddulu,narasimhunisuddulu,narasimhuni suddulu,2
327977,328744,328744,#Parvati,Parvati,#parvati,parvati,1
124595,124916,124916,MumbaiVotes2019,Mumbai Votes 2019,mumbaivotes2019,mumbai votes 2019,3
4112,4125,4125,MNMPuducherry,MNM Puducherry,mnmpuducherry,mnm puducherry,2
194084,194551,194551,GobindSinghLongowal,Gobind Singh Longowal,gobindsinghlongowal,gobind singh longowal,3
47437,47571,47571,RBIPolicy,RBI Policy,rbipolicy,rbi policy,2
35758,35855,35855,RepPressley,Rep Pressley,reppressley,rep pressley,2
62466,62640,62640,FaithForKami7,Faith For Kami 7,faithforkami7,faith for kami 7,4
251886,252491,252491,ShameTV9Bharatvarsh,Shame TV 9 Bharatvarsh,shametv9bharatvarsh,shame tv 9 bharatvarsh,4
133490,133832,133832,DavaoOriental,Davao Oriental,davaooriental,davao oriental,2
69439,69629,69629,ElectionSong,Election Song,electionsong,election song,2
91388,91637,91637,OmprakashHudla,Omprakash Hudla,omprakashhudla,omprakash hudla,2
114984,115278,115278,HaryanaResult,Haryana Result,haryanaresult,haryana result,2
220237,220768,220768,KarnatakaBypollResults,Karnataka Bypoll Results,karnatakabypollresults,karnataka bypoll results,3
91176,91425,91425,VoteVeyandiDeshanikiTheekaVeyandi,Vote Veyandi Deshaniki Theeka Veyandi,voteveyandideshanikitheekaveyandi,vote veyandi deshaniki theeka veyandi,5
91012,91260,91260,VotingWithFamily,Voting With Family,votingwithfamily,voting with family,3
82516,82740,82740,VVIPCandidate,VVIP Candidate,vvipcandidate,vvip candidate,2
149111,149479,149479,TractorTrollyAccident,Tractor Trolly Accident,tractortrollyaccident,tractor trolly accident,3
296683,297387,297387,vote4ZimmedaarKcr,vote 4 Zimmedaar Kcr,vote4zimmedaarkcr,vote 4 zimmedaar kcr,4
320590,321349,321349,TheBetterAndhra,The Better Andhra,thebetterandhra,the better andhra,3
164191,164593,164593,shaheedBhagatSingh,shaheed Bhagat Singh,shaheedbhagatsingh,shaheed bhagat singh,3
152094,152473,152473,PokerVoting,Poker Voting,pokervoting,poker voting,2
213132,213649,213649,WayToAim,Way To Aim,waytoaim,way to aim,3
268681,269318,269318,UKGovernment,UK Government,ukgovernment,uk government,2
83047,83276,83276,NainaBaJadeja,Naina Ba Jadeja,nainabajadeja,naina ba jadeja,3
259980,260598,260598,SharekhanFundamentalResearch,Sharekhan Fundamental Research,sharekhanfundamentalresearch,sharekhan fundamental research,3
114268,114561,114561,jeetGayaDekhoModiHi,jeet Gaya Dekho Modi Hi,jeetgayadekhomodihi,jeet gaya dekho modi hi,5
214402,214921,214921,WhatATimeToBeAlive,What A Time To Be Alive,whatatimetobealive,what a time to be alive,6
24516,24593,24593,jayBhimJayMimJayMalhar,jay Bhim Jay Mim Jay Malhar,jaybhimjaymimjaymalhar,jay bhim jay mim jay malhar,6
11526,11560,11560,collectorAnupama,collector Anupama,collectoranupama,collector anupama,2
198035,198510,198510,MaoistAffectedRegions,Maoist Affected Regions,maoistaffectedregions,maoist affected regions,3
312081,312823,312823,DevilMayCryV,Devil May Cry V,devilmaycryv,devil may cry v,4
124732,125053,125053,SonSayfa,Son Sayfa,sonsayfa,son sayfa,2
174694,175117,175117,MayorsMigrationCouncil,Mayors Migration Council,mayorsmigrationcouncil,mayors migration council,3
135618,135966,135966,LokSabhaPhase1Voting,Lok Sabha Phase 1 Voting,loksabhaphase1voting,lok sabha phase 1 voting,5
205838,206334,206334,SanjeevKapoor,Sanjeev Kapoor,sanjeevkapoor,sanjeev kapoor,2
222580,223118,223118,DaysOfFuturePast,Days Of Future Past,daysoffuturepast,days of future past,4
82546,82770,82770,WalkForModi,Walk For Modi,walkformodi,walk for modi,3
261799,262423,262423,SilverJewellery,Silver Jewellery,silverjewellery,silver jewellery,2
153415,153796,153796,DeshKaTyohaar,Desh Ka Tyohaar,deshkatyohaar,desh ka tyohaar,3
239446,240020,240020,TejashwiSurya,Tejashwi Surya,tejashwisurya,tejashwi surya,2
81416,81638,81638,WentworthMiller,Wentworth Miller,wentworthmiller,wentworth miller,2
249572,250172,250172,VoteForET,Vote For ET,voteforet,vote for et,3
305604,306330,306330,CBDproducts,CB Dproducts,cbdproducts,cb dproducts,2
266447,267079,267079,PositivesBrands,Positives Brands,positivesbrands,positives brands,2
128522,128850,128850,EknathGaekwad,Eknath Gaekwad,eknathgaekwad,eknath gaekwad,2
53788,53941,53941,MahaMukabala2019,Maha Mukabala 2019,mahamukabala2019,maha mukabala 2019,3
194124,194591,194591,SheCanNigeria,She Can Nigeria,shecannigeria,she can nigeria,3
153431,153812,153812,INLDForHaryana,INLD For Haryana,inldforharyana,inld for haryana,3
252848,253457,253457,IPLscore,IP Lscore,iplscore,ip lscore,2
305678,306404,306404,CandidateInfo,Candidate Info,candidateinfo,candidate info,2
103680,103955,103955,NuclearBombForDiwali,Nuclear Bomb For Diwali,nuclearbombfordiwali,nuclear bomb for diwali,4
9398,9427,9427,UPWishesPM,UP Wishes PM,upwishespm,up wishes pm,3
28531,28617,28617,EnjoyGreatWeekend,Enjoy Great Weekend,enjoygreatweekend,enjoy great weekend,3
234483,235043,235043,TheLightHeavyWeight,The Light Heavy Weight,thelightheavyweight,the light heavy weight,4
217177,217701,217701,jagoJANTApyare,jago JANT Apyare,jagojantapyare,jago jant apyare,3
124092,124411,124411,PrimeMinisterforIndia,Prime Ministerfor India,primeministerforindia,prime ministerfor india,3
275604,276257,276257,CasualConversation,Casual Conversation,casualconversation,casual conversation,2
180276,180708,180708,LeChee,Le Chee,lechee,le chee,2
220368,220899,220899,DaveAllenAtLarge,Dave Allen At Large,daveallenatlarge,dave allen at large,4
269678,270317,270317,LeaderOfClassesNMasses,Leader Of Classes N Masses,leaderofclassesnmasses,leader of classes n masses,5
18599,18655,18655,DanceIndiaDance,Dance India Dance,danceindiadance,dance india dance,3
289244,289928,289928,JenniferYang,Jennifer Yang,jenniferyang,jennifer yang,2
154811,155196,155196,ModiMastKashiPast,Modi Mast Kashi Past,modimastkashipast,modi mast kashi past,4
32916,33011,33011,AssemblySegment,Assembly Segment,assemblysegment,assembly segment,2
322845,323609,323609,CaseFiledOnAmanchiKrishnaMohan,Case Filed On Amanchi Krishna Mohan,casefiledonamanchikrishnamohan,case filed on amanchi krishna mohan,6
309047,309782,309782,NOtoCORRUPTION,N Oto CORRUPTION,notocorruption,n oto corruption,3
45955,46085,46085,YuvaKaVichar,Yuva Ka Vichar,yuvakavichar,yuva ka vichar,3
325883,326650,326650,#ReleaseAllPoliticalprisoners,Release All Politicalprisoners,#releaseallpoliticalprisoners,release all politicalprisoners,3
153330,153711,153711,EastBay,East Bay,eastbay,east bay,2
190466,190922,190922,GodsewasIndia,Godsewas India,godsewasindia,godsewas india,2
295404,296105,296105,9yearforIndustryHitPokiri,9 yearfor Industry Hit Pokiri,9yearforindustryhitpokiri,9 yearfor industry hit pokiri,5
102045,102315,102315,NaMoFan,Na Mo Fan,namofan,na mo fan,3
137881,138233,138233,LoksabhaElections2019Results,Loksabha Elections 2019 Results,loksabhaelections2019results,loksabha elections 2019 results,4
201327,201811,201811,ModPodge,Mod Podge,modpodge,mod podge,2
16301,16351,16351,MoralVictoryForCongress,Moral Victory For Congress,moralvictoryforcongress,moral victory for congress,4
294112,294812,294812,AsifVohra,Asif Vohra,asifvohra,asif vohra,2
11146,11179,11179,BengalModelOfMamtaDidi,Bengal Model Of Mamta Didi,bengalmodelofmamtadidi,bengal model of mamta didi,5
123511,123828,123828,ECoC,E Co C,ecoc,e co c,3
274470,275119,275119,NoCareerInPolitics,No Career In Politics,nocareerinpolitics,no career in politics,4
122718,123031,123031,NewProfiePic,New Profie Pic,newprofiepic,new profie pic,3
3929,3941,3941,IrrelevantSeekingRelevance,Irrelevant Seeking Relevance,irrelevantseekingrelevance,irrelevant seeking relevance,3
46823,46955,46955,BoycottHypocrites,Boycott Hypocrites,boycotthypocrites,boycott hypocrites,2
244475,245063,245063,RAHULunfit4PM,RAHU Lunfit 4 PM,rahulunfit4pm,rahu lunfit 4 pm,4
308191,308925,308925,TrainDelay,Train Delay,traindelay,train delay,2
175171,175594,175594,PoorState,Poor State,poorstate,poor state,2
94391,94645,94645,PappuWillBePappu,Pappu Will Be Pappu,pappuwillbepappu,pappu will be pappu,4
60562,60732,60732,7YrsOfDaringBILLA2,7 Yrs Of Daring BILLA 2,7yrsofdaringbilla2,7 yrs of daring billa 2,6
287431,288112,288112,DSPKaranSherSingh,DSP Karan Sher Singh,dspkaranshersingh,dsp karan sher singh,4
166869,167280,167280,SocialPillar,Social Pillar,socialpillar,social pillar,2
149997,150367,150367,NadigamaSureshMP,Nadigama Suresh MP,nadigamasureshmp,nadigama suresh mp,3
225660,226208,226208,GoldBullion,Gold Bullion,goldbullion,gold bullion,2
307856,308589,308589,aayegaTohModiHi,aayega Toh Modi Hi,aayegatohmodihi,aayega toh modi hi,4
183110,183546,183546,HoustonGhostTour,Houston Ghost Tour,houstonghosttour,houston ghost tour,3
292370,293063,293063,ONPoli,ON Poli,onpoli,on poli,2
302424,303142,303142,jaiHInd,jai H Ind,jaihind,jai h ind,3
229184,229737,229737,IndiasMostWanted,Indias Most Wanted,indiasmostwanted,indias most wanted,3
190140,190596,190596,PackagePolitician,Package Politician,packagepolitician,package politician,2
217952,218478,218478,PerformanceAndDedication,Performance And Dedication,performanceanddedication,performance and dedication,3
54275,54430,54430,GreatUnderCurrent,Great Under Current,greatundercurrent,great under current,3
78972,79190,79190,MoC,Mo C,moc,mo c,2
23699,23775,23775,WestchesterPlaya,Westchester Playa,westchesterplaya,westchester playa,2
236017,236581,236581,NayinarNnagendran,Nayinar Nnagendran,nayinarnnagendran,nayinar nnagendran,2
272014,272656,272656,LiveResultsUpdates,Live Results Updates,liveresultsupdates,live results updates,3
270144,270784,270784,MaharashtraLiveNews,Maharashtra Live News,maharashtralivenews,maharashtra live news,3
146076,146438,146438,PseudoSecularMedia,Pseudo Secular Media,pseudosecularmedia,pseudo secular media,3
28741,28828,28828,JayeshParkar,Jayesh Parkar,jayeshparkar,jayesh parkar,2
241474,242052,242052,SingaporeCBN,Singapore CBN,singaporecbn,singapore cbn,2
11487,11520,11520,MadhyaPradeshElection2018,Madhya Pradesh Election 2018,madhyapradeshelection2018,madhya pradesh election 2018,4
114818,115112,115112,WhoPays,Who Pays,whopays,who pays,2
159260,159650,159650,NirupamKaka,Nirupam Kaka,nirupamkaka,nirupam kaka,2
241892,242472,242472,PartnersOfCongress,Partners Of Congress,partnersofcongress,partners of congress,3
28446,28532,28532,KRKVote,KRK Vote,krkvote,krk vote,2
232288,232844,232844,MahaMichil,Maha Michil,mahamichil,maha michil,2
317930,318686,318686,AllRoadsClosed,All Roads Closed,allroadsclosed,all roads closed,3
87913,88157,88157,vijayiTelangana,vijayi Telangana,vijayitelangana,vijayi telangana,2
138054,138406,138406,HumLadenge,Hum Ladenge,humladenge,hum ladenge,2
127942,128269,128269,LokSabhaElections2019Schedule,Lok Sabha Elections 2019 Schedule,loksabhaelections2019schedule,lok sabha elections 2019 schedule,5
52472,52621,52621,CongSwineFluInsult,Cong Swine Flu Insult,congswinefluinsult,cong swine flu insult,4
325944,326711,326711,#BiggBossTelugu4,Bigg Boss Telugu 4,#biggbosstelugu4,bigg boss telugu 4,4
28496,28582,28582,MakeHerWin,Make Her Win,makeherwin,make her win,3
244204,244791,244791,KoieOrBachaaBhiHaiKya,Koie Or Bachaa Bhi Hai Kya,koieorbachaabhihaikya,koie or bachaa bhi hai kya,6
8613,8640,8640,WhyTheHellModiAgain,Why The Hell Modi Again,whythehellmodiagain,why the hell modi again,5
259782,260400,260400,TeamNSUI,Team NSUI,teamnsui,team nsui,2
232663,233219,233219,2024BJPsarkar,2024 BJ Psarkar,2024bjpsarkar,2024 bj psarkar,3
82294,82517,82517,HayatVacations,Hayat Vacations,hayatvacations,hayat vacations,2
243285,243868,243868,UttarPradeshWithModi,Uttar Pradesh With Modi,uttarpradeshwithmodi,uttar pradesh with modi,4
220601,221134,221134,greatIndianrealityshow,great Indianrealityshow,greatindianrealityshow,great indianrealityshow,2
26073,26152,26152,MILkDairy,MI Lk Dairy,milkdairy,mi lk dairy,3
110508,110793,110793,nothingMPs,nothing M Ps,nothingmps,nothing m ps,3
29676,29763,29763,7thPhaseElectionsStunts,7 th Phase Elections Stunts,7thphaseelectionsstunts,7 th phase elections stunts,5
231932,232488,232488,Bluewave2020Party,Bluewave 2020 Party,bluewave2020party,bluewave 2020 party,3
278790,279453,279453,AnuragShukla,Anurag Shukla,anuragshukla,anurag shukla,2
36133,36233,36233,DMKCandidatesForByElection,DMK Candidates For By Election,dmkcandidatesforbyelection,dmk candidates for by election,5
38707,38817,38817,SeasonalConsciences,Seasonal Consciences,seasonalconsciences,seasonal consciences,2
23916,23992,23992,HeyGirl,Hey Girl,heygirl,hey girl,2
221191,221726,221726,LordWynSpeaketh,Lord Wyn Speaketh,lordwynspeaketh,lord wyn speaketh,3
44631,44755,44755,TrumpPolicy,Trump Policy,trumppolicy,trump policy,2
149096,149464,149464,YoungstersFuture,Youngsters Future,youngstersfuture,youngsters future,2
257901,258518,258518,CMReliefFund,CM Relief Fund,cmrelieffund,cm relief fund,3
247565,248160,248160,RoadToJournalism,Road To Journalism,roadtojournalism,road to journalism,3
189812,190268,190268,BloodSugar,Blood Sugar,bloodsugar,blood sugar,2
284707,285386,285386,3rdNDAGov,3 rd NDA Gov,3rdndagov,3 rd nda gov,4
223451,223989,223989,ConstantlyBattling,Constantly Battling,constantlybattling,constantly battling,2
133571,133913,133913,ISupportKarnavati,I Support Karnavati,isupportkarnavati,i support karnavati,3
2042,2049,2049,DirectAction,Direct Action,directaction,direct action,2
38321,38429,38429,LokSahbaElections2019,Lok Sahba Elections 2019,loksahbaelections2019,lok sahba elections 2019,4
197489,197964,197964,BQMutualFundShow,BQ Mutual Fund Show,bqmutualfundshow,bq mutual fund show,4
157879,158269,158269,NewsWeekly,News Weekly,newsweekly,news weekly,2
118493,118795,118795,YouthAreLeading,Youth Are Leading,youthareleading,youth are leading,3
212269,212785,212785,KaliaforOdisha,Kaliafor Odisha,kaliaforodisha,kaliafor odisha,2
94120,94373,94373,boycottKejriwal,boycott Kejriwal,boycottkejriwal,boycott kejriwal,2
274107,274755,274755,AgainModiSarkar,Again Modi Sarkar,againmodisarkar,again modi sarkar,3
15308,15354,15354,ManBookerInternationalPrize,Man Booker International Prize,manbookerinternationalprize,man booker international prize,4
181455,181888,181888,HappyBirthdayNammavar,Happy Birthday Nammavar,happybirthdaynammavar,happy birthday nammavar,3
7284,7310,7310,RsumeConstNBCC,Rsume Const NBCC,rsumeconstnbcc,rsume const nbcc,3
262744,263368,263368,HapurRapeCase,Hapur Rape Case,hapurrapecase,hapur rape case,3
206880,207378,207378,BhopalWithSadviPragya,Bhopal With Sadvi Pragya,bhopalwithsadvipragya,bhopal with sadvi pragya,4
194517,194986,194986,WhyNow,Why Now,whynow,why now,2
134520,134866,134866,TrollTheTroll,Troll The Troll,trollthetroll,troll the troll,3
198084,198559,198559,StrangerThings3,Stranger Things 3,strangerthings3,stranger things 3,3
41169,41285,41285,FellSeal,Fell Seal,fellseal,fell seal,2
206330,206827,206827,ModiNehiToKuchNehi,Modi Nehi To Kuch Nehi,modinehitokuchnehi,modi nehi to kuch nehi,5
65602,65783,65783,PrisidentsRule,Prisidents Rule,prisidentsrule,prisidents rule,2
30533,30621,30621,LokSabhaElectionWithNews1India,Lok Sabha Election With News 1 India,loksabhaelectionwithnews1india,lok sabha election with news 1 india,7
97179,97440,97440,JetAirwaysLatestNews,Jet Airways Latest News,jetairwayslatestnews,jet airways latest news,4
101586,101856,101856,UTQSupportsTGPPartylist,UTQ Supports TGP Partylist,utqsupportstgppartylist,utq supports tgp partylist,4
305850,306576,306576,beimanChowkidar,beiman Chowkidar,beimanchowkidar,beiman chowkidar,2
12253,12290,12290,KahoDilSeBabuldaPhirSe,Kaho Dil Se Babulda Phir Se,kahodilsebabuldaphirse,kaho dil se babulda phir se,6
303198,303919,303919,IndiaVote,India Vote,indiavote,india vote,2
7021,7047,7047,MalikarjunaKarge,Malikarjuna Karge,malikarjunakarge,malikarjuna karge,2
140685,141040,141040,12thPrimeMinisterOfIndia,12 th Prime Minister Of India,12thprimeministerofindia,12 th prime minister of india,6
162338,162738,162738,BrexitRevenge,Brexit Revenge,brexitrevenge,brexit revenge,2
127026,127351,127351,RahulforyoungINDIA,Rahulforyoung INDIA,rahulforyoungindia,rahulforyoung india,2
316292,317043,317043,SpeciallyDisabled,Specially Disabled,speciallydisabled,specially disabled,2
190598,191054,191054,HeartBurnt,Heart Burnt,heartburnt,heart burnt,2
136072,136421,136421,RahulbinBehtarBharat,Rahulbin Behtar Bharat,rahulbinbehtarbharat,rahulbin behtar bharat,3
162332,162732,162732,PFelections2019,P Felections 2019,pfelections2019,p felections 2019,3
77112,77327,77327,SanghvaadseAzaadi,Sanghvaadse Azaadi,sanghvaadseazaadi,sanghvaadse azaadi,2
167694,168106,168106,30April,30 April,30april,30 april,2
204716,205208,205208,FreeNairaMarley,Free Naira Marley,freenairamarley,free naira marley,3
215847,216368,216368,BekuModi,Beku Modi,bekumodi,beku modi,2
9782,9812,9812,ET302Crash,ET 302 Crash,et302crash,et 302 crash,3
257269,257883,257883,HolySermons,Holy Sermons,holysermons,holy sermons,2
57696,57861,57861,Pen4BJP,Pen 4 BJP,pen4bjp,pen 4 bjp,3
120255,120562,120562,CharSoBees,Char So Bees,charsobees,char so bees,3
28452,28538,28538,PoliticalCampaigningPolicy,Political Campaigning Policy,politicalcampaigningpolicy,political campaigning policy,3
327097,327864,327864,#Fighter,Fighter,#fighter,fighter,1
147370,147735,147735,MoorkhDiwas,Moorkh Diwas,moorkhdiwas,moorkh diwas,2
72455,72654,72654,CupcakeDay,Cupcake Day,cupcakeday,cupcake day,2
105249,105528,105528,ShiVbhakt,Shi Vbhakt,shivbhakt,shi vbhakt,2
276568,277224,277224,KJGeorgeSupporters,KJ George Supporters,kjgeorgesupporters,kj george supporters,3
225663,226211,226211,TaiTaiPhoooos,Tai Tai Phoooos,taitaiphoooos,tai tai phoooos,3
247938,248534,248534,IStandWithChowkidaar,I Stand With Chowkidaar,istandwithchowkidaar,i stand with chowkidaar,4
79780,79999,79999,ChhotaHaiParKhotaHai,Chhota Hai Par Khota Hai,chhotahaiparkhotahai,chhota hai par khota hai,5
