,Hashtag,1,2,3,4,5,6,7,8,9,10,Source,id,topk,mutlitoken,charner,answer,annotator,annotation_id,created_at,updated_at,lead_time,Final Segmentation
10,goodnewsmegan,goodnewsmegan,goodnewsmeg an,goodnews megan,goodnewsmega n,go odnewsmegan,good news megan,good newsmegan,g oodnewsmegan,goodnewsme gan,goodnewsm egan,roman,230662,None,Hashtag has named entities,"[{""start"": 8, ""end"": 13, ""text"": ""megan"", ""labels"": [""Named Entity""]}]","{""text"": [""good news megan"", ""goodnewsmegan""]}",1,2088,2021-12-30T17:10:33.800607Z,2021-12-30T17:10:59.714840Z,3896.182,good news megan
11,antim,antim,anti m,an tim,ant im,ant i m,a ntim,a n t i m,an t i m,an t im,a n tim,roman,230555,$1,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities""]}",None,"{""text"": [""antim"", ""antim""]}",1,2049,2021-12-30T16:38:32.724804Z,2021-12-30T16:38:39.520898Z,1956.013,antim
12,1yearofitabestjodiashdeep,1yearofitabestjodiashdeep,1yearofitabestjodiashdee p,1yearofitabestjodiash deep,1 yearofitabestjodiashdeep,1yearofitabestjodiashde ep,1year ofitabestjodiashdeep,1yearofitabestjodiashde e p,1yearofitabestjodiashd eep,1y earofitabestjodiashdeep,1 year ofitabestjodiashdeep,roman,230524,None,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities""]}","[{""start"": 7, ""end"": 10, ""text"": ""ita"", ""labels"": [""Named Entity""]}, {""start"": 18, ""end"": 25, ""text"": ""ashdeep"", ""labels"": [""Named Entity""]}, {""start"": 14, ""end"": 18, ""text"": ""jodi"", ""labels"": [""Not Named Entity""]}]","{""text"": [""1year of ita best jodi ashdeep"", ""1yearofitabestjodiashdeep""]}",1,2020,2021-12-30T16:19:01.831136Z,2021-12-30T16:19:13.647137Z,790.175,1year of ita best jodi ashdeep
13,albumkaioutnow,albumkaioutnow,albumkaiout now,a lbumkaioutnow,al bumkaioutnow,albumkaioutno w,album kaioutnow,albumkaioutn ow,alb umkaioutnow,albu mkaioutnow,albumkai out now,roman,230489,None,Hashtag has named entities,"[{""start"": 5, ""end"": 8, ""text"": ""kai"", ""labels"": [""Named Entity""]}]","{""text"": [""album kai out now"", ""albumkaioutnow""]}",1,2002,2021-12-30T16:09:34.317581Z,2021-12-30T16:09:44.744346Z,221.187,album kai out now
14,worldsareeday,worldsareeday,worldsareeda y,worldsaree day,world sareeday,w orldsareeday,wo rldsareeday,worlds areeday,worldsareed ay,wor ldsareeday,worlds are eday,roman,229399,None,"{""choices"": [""Hashtag has non english token "", ""Hashtag has a mix of english and hindi tokens""]}",None,"{""text"": [""world saree day"", ""worldsareeday""]}",3,1320,2021-12-17T16:00:40.319267Z,2021-12-17T16:01:16.906304Z,2437.33,world saree day
15,eksaaljharkhandbehal,eksaaljharkhandbehal,eksaaljharkhandbeh al,e ksaaljharkhandbehal,eksaaljharkhandbeha l,ek saaljharkhandbehal,eksaaljharkhandbe hal,eks aaljharkhandbehal,eksaaljharkhand behal,e k saaljharkhandbehal,eksaaljharkhandbe ha l,roman,229382,None,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities"", ""Hashtag has a mix of english and hindi tokens""]}","[{""start"": 6, ""end"": 15, ""text"": ""jharkhand"", ""labels"": [""Named Entity""]}]","{""text"": [""ek saal jharkhand behal"", ""eksaaljharkhandbehal""]}",3,1303,2021-12-17T15:55:09.529573Z,2021-12-17T15:55:47.923685Z,2108.353,ek saal jharkhand behal
16,in1b,in 1b,in1b,in 1 b,in1 b,i n1b,i n 1b,i n 1 b,i n1 b,,,roman,228602,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 2, ""text"": ""in"", ""labels"": [""Named Entity""]}, {""start"": 2, ""end"": 4, ""text"": ""1b"", ""labels"": [""Named Entity""]}]","{""text"": [""in1b"", ""in1b""]}",4,1244,2021-12-17T12:08:45.101013Z,2021-12-17T12:09:04.117768Z,3418.161,in 1b
18,saffolafraud,saffolafraud,saffolafrau d,saffola fraud,s affolafraud,sa ffolafraud,saffolafra ud,saffolafr aud,saf folafraud,saff olafraud,saffolaf raud,roman,230408,$3,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""saffola"", ""labels"": [""Named Entity""]}]","{""text"": [""saffolafraud"", ""saffolafraud""]}",1,1092,2021-12-16T15:44:45.173755Z,2021-12-16T15:44:49.918774Z,300.494,saffola fraud
19,shivsena,shivsena,shiv sena,shiv se na,shiv sen a,shivsen a,shivse na,s hivsena,shivs ena,shivs e na,shi vsena,roman,228509,$2,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities"", ""Hashtag has a mix of english and hindi tokens""]}","[{""start"": 0, ""end"": 4, ""text"": ""shiv"", ""labels"": [""Named Entity""]}]","{""text"": [""shivsena"", ""shivsena""]}",4,1074,2021-12-15T12:59:48.646514Z,2021-12-15T13:00:51.476960Z,718.664,shiv sena
20,omotenashibeats,omotenashibeats,omotenashi beats,omotenashibeat s,o motenashibeats,om otenashibeats,omotenashib eats,omotenashibea ts,omotenashibe ats,omo tenashibeats,omotenashibea t s,roman,228496,$2,Hashtag has named entities,"[{""start"": 0, ""end"": 10, ""text"": ""omotenashi"", ""labels"": [""Named Entity""]}]","{""text"": [""omotenashibeats"", ""omotenashibeats""]}",4,1064,2021-12-15T12:50:09.406194Z,2021-12-15T12:52:40.073281Z,227.29,omotenashi beats
21,wabi7project,wabi7project,wabi7 project,wabi7projec t,w abi7project,wa bi7project,wabi7proje ct,wabi7proj ect,wabi 7 project,wabi7proje c t,wab i7project,roman,228488,$2,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""wabi7"", ""labels"": [""Named Entity""]}]","{""text"": [""wabi7project"", ""wabi7project""]}",4,1059,2021-12-14T13:32:29.839740Z,2021-12-14T13:34:23.313100Z,422.094,wabi7 project
22,bjp4bihar,bjp4bihar,bjp 4 bihar,bjp4biha r,bjp4bi har,bjp4 bihar,b jp4bihar,bjp4bih ar,bjp 4bihar,bj p4bihar,b j p 4 bihar,roman,230405,$2,None,"[{""start"": 4, ""end"": 9, ""text"": ""bihar"", ""labels"": [""Named Entity""]}]",bjp4bihar,1,1055,2021-12-14T05:20:51.468640Z,2021-12-14T05:21:41.367395Z,3208.658,bjp 4 bihar
23,ayurveda,ayurveda,ayurved a,a yurveda,ayurve da,ayur veda,ayurv eda,ay urveda,ayu rveda,ayur ve da,ayurve d a,roman,230389,$1,None,None,"{""text"": [""ayurveda"", ""ayurveda""]}",1,1039,2021-12-14T05:14:09.735605Z,2021-12-14T05:14:12.442629Z,2759.736,ayurveda
24,viraataparvam,viraataparvam,viraataparva m,viraataparv am,v iraataparvam,vir aataparvam,vi raataparvam,viraatapar vam,viraat aparvam,vira ataparvam,viraata parvam,roman,230368,$10,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""viraata"", ""labels"": [""Named Entity""]}, {""start"": 7, ""end"": 13, ""text"": ""parvam"", ""labels"": [""Named Entity""]}]","{""text"": [""viraataparvam"", ""viraataparvam"", ""viraataparvam""]}",1,1020,2021-12-14T05:09:52.009583Z,2021-12-14T05:10:03.415633Z,2510.692,viraata parvam
25,happybirthdaylouistomlinson,happybirthdaylouistomlinson,happybirthdaylouistomlins on,happybirthdaylouistomlin son,happybirthdaylouistomlinso n,ha ppybirthdaylouistomlinson,h appybirthdaylouistomlinson,happy birthdaylouistomlinson,happybirthdaylouis tomlinson,hap pybirthdaylouistomlinson,happybirthday louis tomlinson,roman,230348,None,Hashtag has named entities,"[{""start"": 18, ""end"": 27, ""text"": ""tomlinson"", ""labels"": [""Named Entity""]}, {""start"": 13, ""end"": 18, ""text"": ""louis"", ""labels"": [""Named Entity""]}]","{""text"": [""happy birthday louis tomlinson"", ""happybirthdaylouistomlinson""]}",1,1000,2021-12-14T05:03:04.370589Z,2021-12-14T05:04:02.415683Z,2149.7,happy birthday louis tomlinson
26,chalorajghat,chalorajghat,chalorajgh at,chalo rajghat,chalorajgha t,chalo raj ghat,c halorajghat,chalorajg hat,chaloraj ghat,chal orajghat,ch alorajghat,roman,230344,$3,"{""choices"": [""Hashtag has named entities"", ""Hashtag has a mix of english and hindi tokens""]}","[{""start"": 5, ""end"": 12, ""text"": ""rajghat"", ""labels"": [""Named Entity""]}]","{""text"": [""chalorajghat"", ""chalorajghat""]}",1,996,2021-12-14T05:01:08.790894Z,2021-12-14T05:01:11.464220Z,1978.747,chalo rajghat
27,upkishaanyogiji,upkishaanyogiji,upkishaanyogij i,upkishaanyogi ji,up kishaanyogiji,u pkishaanyogiji,upkishaanyog iji,upkishaan yogi ji,upkishaan yogiji,upkishaanyog i ji,upkishaanyogi j i,roman,230340,None,"{""choices"": [""Hashtag has named entities"", ""Hashtag has a mix of english and hindi tokens""]}","[{""start"": 0, ""end"": 2, ""text"": ""up"", ""labels"": [""Named Entity""]}, {""start"": 9, ""end"": 13, ""text"": ""yogi"", ""labels"": [""Named Entity""]}, {""start"": 13, ""end"": 15, ""text"": ""ji"", ""labels"": [""Named Entity""]}]","{""text"": [""up kishaan yogi ji"", ""upkishaanyogiji""]}",1,992,2021-12-14T04:59:43.895384Z,2021-12-14T04:59:48.876073Z,1896.156,up kishaan yogi ji
28,salmankhansong,salmankhansong,salman khan song,salmankhan song,salman khan s o n g,salmankhan s o n g,s almankhansong,salmankhanson g,sa lmankhansong,salman khans ong,salmankhanso ng,roman,230339,$2,Hashtag has named entities,"[{""start"": 0, ""end"": 6, ""text"": ""salman"", ""labels"": [""Named Entity""]}, {""start"": 6, ""end"": 10, ""text"": ""khan"", ""labels"": [""Named Entity""]}]","{""text"": [""salmankhansong"", ""salmankhansong""]}",1,991,2021-12-14T04:59:09.816820Z,2021-12-14T04:59:12.851474Z,1860.126,salman khan song
29,azimpremji,azim premji,azim prem ji,azimpremji,azimpremj i,azimprem ji,a zimpremji,az impremji,azi mpremji,azimpre m ji,azimprem j i,roman,230333,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 4, ""text"": ""azim"", ""labels"": [""Named Entity""]}, {""start"": 4, ""end"": 10, ""text"": ""premji"", ""labels"": [""Named Entity""]}]","{""text"": [""azimpremji"", ""azimpremji""]}",1,984,2021-12-14T04:52:24.819924Z,2021-12-14T04:53:12.112267Z,1499.361,azim premji
30,itirafediyorum,itirafediyorum,itirafediyoru m,i tirafediyorum,it irafediyorum,itirafediyor um,itirafediyo rum,iti rafediyorum,itirafediy orum,itirafediyor u m,itir afediyorum,roman,230324,None,None,None,"{""text"": [""itiraf ediyorum"", ""itirafediyorum""]}",1,976,2021-12-14T04:48:39.047896Z,2021-12-14T04:49:12.170215Z,1259.412,itiraf ediyorum
31,marr,marr,mar r,m arr,ma rr,m a r r,ma r r,m a rr,m ar r,,,roman,229330,$1,None,None,"{""text"": [""marr"", ""marr""]}",3,908,2021-12-13T16:38:14.942084Z,2021-12-13T16:38:39.528159Z,2254.489,marr
32,munpar,mun par,munpar,m unpar,m un par,mun pa r,mu npar,munpa r,mu n par,munp ar,mun p a r,roman,229295,$1,Hashtag has non english token ,None,"{""text"": [""munpar"", ""munpar""]}",3,874,2021-12-13T16:22:03.550079Z,2021-12-13T16:22:08.423287Z,1263.389,mun par
33,modihaitomanipulationhai,modihaitomanipulationhai,modihaitomanipulationha i,modihaitomanipulation hai,modihaitomanipulationh ai,m odihaitomanipulationhai,modi haitomanipulationhai,mo dihaitomanipulationhai,mod ihaitomanipulationhai,modihaitomanipulation ha i,modihaitomanipulatio nhai,roman,229261,None,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities""]}","[{""start"": 0, ""end"": 4, ""text"": ""modi"", ""labels"": [""Named Entity""]}]","{""text"": [""modi hai to manipulation hai"", ""modihaitomanipulationhai""]}",3,841,2021-12-13T16:09:55.459627Z,2021-12-13T16:16:13.451134Z,908.416,modi hai to manipulation hai
34,nani26,nani26,nani 26,nani2 6,nan i 26,na ni 26,nani 2 6,na ni26,nan i26,n ani26,n ani 26,roman,229274,$2,Hashtag has non english token ,None,"{""text"": [""nani26"", ""nani26""]}",3,854,2021-12-13T16:14:30.882169Z,2021-12-13T16:16:05.715022Z,900.681,nani 26
35,tukdetukdegang,tukdetukdegang,tukde tukde gang,tukdetukdegan g,tukdetukde gang,t ukdetukdegang,tukdetukdega ng,tu kdetukdegang,tukdetukdeg ang,tuk detukdegang,tukde tukdegang,roman,229275,$2,Hashtag has non english token ,None,"{""text"": [""tukdetukdegang"", ""tukdetukdegang""]}",3,855,2021-12-13T16:14:40.470550Z,2021-12-13T16:16:00.892867Z,895.818,tukde tukde gang
36,mirzapur2,mirzapur 2,mirzapur2,m irzapur2,mi rzapur2,mir zapur2,mirza pur2,mirzapu r2,mirza pur 2,mirza p u r 2,mirzapu r 2,roman,230283,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 8, ""text"": ""mirzapur"", ""labels"": [""Named Entity""]}]","{""text"": [""mirzapur2"", ""mirzapur2""]}",1,828,2021-10-26T10:47:23.017738Z,2021-10-26T10:47:30.903968Z,3140.59,mirzapur 2
37,sreekaram,sreekaram,sree karam,sreekar am,sreekara m,s reekaram,sreeka ram,sree kar am,sr eekaram,sreek aram,sreekar a m,roman,230242,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 9, ""text"": ""sreekaram"", ""labels"": [""Named Entity""]}]","{""text"": [""sreekaram"", ""sreekaram""]}",1,788,2021-10-26T10:25:45.364532Z,2021-10-26T10:26:20.877314Z,1870.563,sreekaram
38,farahkhan,farah khan,farahkhan,farahkh an,farahkha n,farahk han,far ah khan,f arahkhan,far ahkhan,fa rahkhan,fara h khan,roman,230185,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""farah"", ""labels"": [""Named Entity""]}, {""start"": 5, ""end"": 9, ""text"": ""khan"", ""labels"": [""Named Entity""]}]","{""text"": [""farahkhan"", ""farahkhan""]}",1,733,2021-10-26T10:01:32.826828Z,2021-10-26T10:03:02.080337Z,471.714,farah khan
39,narappa,narappa,na rappa,nar appa,narapp a,na rap pa,nara ppa,nara p pa,narap pa,nar app a,n arappa,roman,228479,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""narappa"", ""labels"": [""Named Entity""]}]","{""text"": [""narappa"", ""narappa""]}",4,717,2021-10-26T06:52:59.049645Z,2021-10-26T06:54:00.404506Z,4252.015,narappa
40,ripchitra,ripchitra,rip chitra,ripchitr a,r ipchitra,ripchit ra,r i p chitra,ri pchitra,ri p chitra,ripchi tra,ripc hitra,roman,228470,$2,Hashtag has named entities,"[{""start"": 3, ""end"": 9, ""text"": ""chitra"", ""labels"": [""Named Entity""]}]","{""text"": [""ripchitra"", ""ripchitra"", ""ripchitra""]}",4,710,2021-10-26T06:44:20.570050Z,2021-10-26T06:44:24.942420Z,3676.54,rip chitra
41,tulsipujandiwas,tulsi pujan diwas,tulsipujandiwas,tulsipujandi was,tulsipujandiw as,tulsipujandiwa s,t ulsipujandiwas,tu lsipujandiwas,tulsipujand i was,tulsipujan diwas,tulsi pujandiwas,roman,228394,$1,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities"", ""Hashtag has a mix of english and hindi tokens""]}","[{""start"": 0, ""end"": 5, ""text"": ""tulsi"", ""labels"": [""Named Entity""]}]","{""text"": [""tulsipujandiwas"", ""tulsipujandiwas""]}",4,642,2021-10-14T20:17:44.231535Z,2021-10-14T20:18:01.990319Z,2792.107,tulsi pujan diwas
42,thankyouajith,thankyouajith,thankyou ajith,than kyouajith,thank you ajith,thankyouajit h,t hankyouajith,tha nkyouajith,thank youajith,thankyouaji th,th ankyouajith,roman,228356,$4,Hashtag has named entities,"[{""start"": 8, ""end"": 13, ""text"": ""ajith"", ""labels"": [""Named Entity""]}]","{""text"": [""thankyouajith"", ""thankyouajith""]}",4,603,2021-10-14T19:46:43.588723Z,2021-10-14T19:56:48.984395Z,1519.055,thank you ajith
43,sarkar,sarkar,sar kar,sarka r,sa r kar,sark ar,s arkar,s ar kar,sa rkar,sark a r,sar k ar,roman,228350,$1,Hashtag has non english token ,None,"{""text"": [""sarkar"", ""sarkar""]}",4,597,2021-10-14T19:43:46.539435Z,2021-10-14T19:44:17.495633Z,767.623,sarkar
44,nobodysfault,nobodysfault,nobody s fault,nobodys fault,no body s fault,nobodysfaul t,no bodysfault,n obodysfault,nobodysfau lt,nobody sfault,nobodysf ault,roman,228338,$3,None,None,"{""text"": [""nobodysfault"", ""nobodysfault""]}",4,509,2021-09-27T14:27:26.743758Z,2021-10-14T19:41:54.112846Z,624.235,nobodys fault
45,saaho,saaho,saah o,saa ho,sa aho,s aa ho,s aaho,sa a ho,s aah o,sa ah o,saa h o,roman,229248,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""saaho"", ""labels"": [""Named Entity""]}]","{""text"": [""saaho"", ""saaho"", ""saaho""]}",3,574,2021-10-02T08:59:51.612719Z,2021-10-02T09:00:00.019397Z,7040.183,saaho
47,bolsonarogenocida,bolsonarogenocida,bolsonarogenocid a,bolsonarogenoci da,b olsonarogenocida,bo lsonarogenocida,bolsonarogenoc ida,bol sonarogenocida,bolsonaro genocida,bols onarogenocida,bolsonarogenoci d a,roman,229213,$8,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities""]}","[{""start"": 0, ""end"": 9, ""text"": ""bolsonaro"", ""labels"": [""Named Entity""]}]","{""text"": [""bolsonarogenocida"", ""bolsonarogenocida""]}",3,539,2021-10-02T07:19:07.115911Z,2021-10-02T08:31:03.220258Z,5303.358,bolsonaro genocida
48,jota,jota,jot a,jo ta,j ota,jo t a,j o ta,j o t a,j ot a,,,roman,229224,$1,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities""]}","[{""start"": 0, ""end"": 4, ""text"": ""jota"", ""labels"": [""Named Entity""]}]","{""text"": [""jota"", ""jota""]}",3,550,2021-10-02T07:26:47.382853Z,2021-10-02T08:30:51.762018Z,5291.896,jota
49,mahagathbandhan,mahagathbandhan,maha gathbandhan,maha gath bandhan,mahagathbandh an,mahagathbandha n,m ahagathbandhan,mahagathband han,mahagathban dhan,ma hagathbandhan,mahagath bandhan,roman,229212,$3,Hashtag has non english token ,None,"{""text"": [""mahagathbandhan"", ""mahagathbandhan""]}",3,538,2021-10-02T07:18:24.738803Z,2021-10-02T07:23:32.796415Z,1252.985,maha gath bandhan
50,kaunachakaunlucha,kaunachakaunlucha,kaunachakaunluch a,kaunachakaunluc ha,k aunachakaunlucha,ka unachakaunlucha,kau nachakaunlucha,kaunachakaunlu cha,kaunachakaun lucha,kaunachakaunl ucha,kaun achakaunlucha,roman,229210,None,Hashtag has non english token ,None,"{""text"": [""kaun acha kaun lucha"", ""kaunachakaunlucha""]}",3,536,2021-10-02T07:17:30.871458Z,2021-10-02T07:23:16.523097Z,1236.705,kaun acha kaun lucha
51,virushka,virushka,virushk a,virus hka,vir ushka,vi rushka,v irushka,virush ka,viru shka,virus hk a,viru s hka,roman,228331,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 8, ""text"": ""virushka"", ""labels"": [""Named Entity""]}]","{""text"": [""virushka"", ""virushka""]}",4,501,2021-09-27T14:23:57.531774Z,2021-09-27T14:24:09.959327Z,11271.229,virushka
52,ramaneffect,raman effect,ramaneffect,ram an effect,ramaneffec t,r amaneffect,rama n effect,ram aneffect,ramaneffe ct,ra maneffect,rama neffect,roman,229173,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""raman"", ""labels"": [""Named Entity""]}]",ramaneffect,3,439,2021-09-27T13:46:40.904922Z,2021-09-27T13:54:05.055899Z,590.873,raman effect
53,happybirthdayvivek,happybirthdayvivek,happybirthday vivek,happy birthday vivek,happybirthdayviv ek,happy birth day vivek,happybirthdayvive k,ha ppybirthdayvivek,happybirth day vivek,h appybirthdayvivek,happy birthdayvivek,roman,228182,$3,Hashtag has named entities,"[{""start"": 13, ""end"": 18, ""text"": ""vivek"", ""labels"": [""Named Entity""]}]","{""text"": [""happybirthdayvivek"", ""happybirthdayvivek""]}",4,371,2021-09-27T11:16:47.062833Z,2021-09-27T11:16:59.901221Z,41.213,happy birthday vivek
54,jhoothnahibolte,jhoothnahibolte,jhooth nahi bolte,jhoothnahibolt e,jhooth nahi bol te,jhoothnahibol te,jhooth na hi bolte,jhoothnahi bolte,j hoothnahibolte,jhooth nahibolte,jhoothnahibo lte,election,400039,$2,Hashtag has non english token ,None,jhoothnahibolte,1,2283,2022-01-05T05:29:29.302919Z,2022-01-05T05:29:29.302946Z,5.506,jhooth nahi bolte
55,balochistanisnotpakistan,balochistanisnotpakistan,balochistanisnotpakist an,balochistan is not pakistan,balochistanisnot pakistan,balochistanisnotpakista n,balochistanisnotpakis tan,b alochistanisnotpakistan,ba lochistanisnotpakistan,balochistanisnotpaki stan,bal ochistanisnotpakistan,election,400032,$3,Hashtag has named entities,"[{""start"": 0, ""end"": 11, ""text"": ""balochistan"", ""labels"": [""Named Entity""]}, {""start"": 16, ""end"": 24, ""text"": ""pakistan"", ""labels"": [""Named Entity""]}]",balochistanisnotpakistan,1,2280,2022-01-05T05:23:26.336960Z,2022-01-05T05:23:26.337031Z,11.006,balochistan is not pakistan
56,northeastmumbai,northeastmumbai,northeast mumbai,north east mumbai,northeastmumba i,no rtheastmumbai,northeastmumb ai,nor theastmumbai,northeastmum bai,north eastmumbai,n ortheastmumbai,election,400026,$3,Hashtag has named entities,"[{""start"": 9, ""end"": 15, ""text"": ""mumbai"", ""labels"": [""Named Entity""]}]",northeastmumbai,1,2279,2022-01-05T05:22:58.704694Z,2022-01-05T05:22:58.704766Z,12.039,north east mumbai
57,fvckyouchallange,fvckyouchallange,fvckyouchallang e,f vckyouchallange,fvckyouchallan ge,fvckyouchal lange,fvckyouchall ange,fv ckyouchallange,fvckyouchalla nge,fvc kyouchallange,fvckyouchallan g e,election,400019,None,None,None,fvck you challange,1,2278,2022-01-05T05:19:34.251518Z,2022-01-05T05:19:34.251546Z,11.989,fvck you challange
58,pujab,pujab,puja b,pu jab,p u jab,puj ab,p u j a b,p ujab,pu j a b,puj a b,pu j ab,election,300167,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""pujab"", ""labels"": [""Named Entity""]}]",pujab,3,1976,2021-12-30T13:59:50.212422Z,2021-12-30T13:59:50.212468Z,13.908,pujab
59,maoist,maoist,mao ist,maois t,maoi st,mao is t,ma oist,m aoist,mao i s t,mao i st,ma o ist,election,300162,$1,None,None,maoist,3,1973,2021-12-30T13:59:00.986247Z,2021-12-30T13:59:00.986293Z,1.912,maoist
